iata,name,city,lat,lon
RHI,Rhinelander Oneida County Airport,Rhinelander,45.6312,-89.4675
RHV,Reid-Hillview Airport of Santa Clara County,San Jose,37.3329,-121.819
RIC,Richmond International Airport,Richmond,37.5052,-77.3197
RIL,Garfield County Regional Airport,Rifle,39.5263,-107.727
RIV,March ARB Airport,Riverside,33.8807,-117.259
RIW,Riverton Regional Airport,Riverton WY,43.0642,-108.46
RKD,Knox County Regional Airport,Rockland,44.0601,-69.0992
RKH,Rock Hill - York County Airport,Rock Hill,34.9878,-81.0572
RKP,Aransas County Airport,Rockport,28.0868,-97.0446
RKS,Southwest Wyoming Regional Airport,Rock Springs,41.5942,-109.065
RME,Griffiss International Airport,Rome,43.2338,-75.407
RMG,Richard B Russell Airport,Rome,34.3506,-85.158
RMY,Mariposa Yosemite Airport,Mariposa,37.5109,-120.04
RND,Randolph Air Force Base,San Antonio,29.5297,-98.2789
RNO,Reno Tahoe International Airport,Reno,39.4991,-119.768
RNT,Renton Municipal Airport,Renton,47.4931,-122.216
RNZ,Jasper County Airport,Rensselaer,40.9479,-87.1826
ROA,Roanoke–Blacksburg Regional Airport,Roanoke VA,37.3255,-79.9754
ROC,Greater Rochester International Airport,Rochester,43.1189,-77.6724
ROW,Roswell International Air Center Airport,Roswell,33.3016,-104.531
RSH,Russian Mission Airport,Russian Mission,61.77888,-161.31946
RSL,Russell Municipal Airport,Russell,38.8721,-98.8118
RST,Rochester International Airport,Rochester,43.9083,-92.5
RSW,Southwest Florida International Airport,Fort Myers,26.5362,-81.7552
RTN,Raton Municipal-Crews Field,Raton,36.7415,-104.502
RUI,Sierra Blanca Regional Airport,Ruidoso,33.4628,-105.535
RUT,Rutland - Southern Vermont Regional Airport,Rutland,43.5294,-72.9496
RVS,Richard Lloyd Jones Jr Airport,Tulsa,36.0396,-95.9846
RWF,Redwood Falls Municipal Airport,Redwood Falls,44.5472,-95.0823
RWI,Rocky Mount Wilson Regional Airport,Rocky Mount,35.8563,-77.8919
RWL,Rawlins Municipal Airport/Harvey Field,Rawlins,41.8056,-107.2
SAA,Shively Field,SARATOGA,41.4449,-106.824
SAC,Sacramento Executive Airport,Sacramento,38.5125,-121.493
SAD,Safford Regional Airport,Safford,32.8548,-109.635
SAF,Santa Fe Municipal Airport,Santa Fe,35.6171,-106.089
SAN,San Diego International Airport,San Diego,32.7336,-117.19
SAT,San Antonio International Airport,San Antonio,29.5337,-98.4698
SAV,Savannah Hilton Head International Airport,Savannah,32.1276,-81.2021
SBA,Santa Barbara Municipal Airport,Santa Barbara,34.4262,-119.84
SBD,San Bernardino International Airport,San Bernardino,34.0954,-117.235
SBM,Sheboygan County Memorial Airport,Sheboygan,43.7696,-87.8514
SBN,South Bend Regional Airport,South Bend,41.7087,-86.3173
SBP,San Luis County Regional Airport,San Luis Obispo,35.2368,-120.642
SBS,Steamboat Springs Bob Adams Field,Steamboat Springs,40.5163,-106.866
SBY,Salisbury Ocean City Wicomico Regional Airport,Salisbury,38.3405,-75.5103
SCC,Deadhorse Airport,Deadhorse,70.1947,-148.465
SCE,University Park Airport,State College Pennsylvania,40.8493,-77.8487
SCF,Scottsdale Airport,Scottsdale,33.6229,-111.911
SCH,Schenectady County Airport,Scotia NY,42.8525,-73.9289
SCK,Stockton Metropolitan Airport,Stockton,37.8942,-121.238
SCM,Scammon Bay Airport,Scammon Bay,61.8453,-165.571
SDF,Louisville International Standiford Field,Louisville,38.1744,-85.736
SDM,Brown Field Municipal Airport,San Diego,32.5723,-116.98
SDP,Sand Point Airport,Sand Point,55.315,-160.52299
SDX,Sedona Airport,Sedona,34.8486,-111.788
SDY,Sidney - Richland Regional Airport,Sidney,47.7069,-104.193
SEA,Seattle Tacoma International Airport,Seattle,47.449,-122.309
SEE,Gillespie Field,El Cajon,32.8262,-116.972
SEF,Sebring Regional Airport,Sebring,27.4564,-81.3424
SEM,Craig Field,Selma,32.3439,-86.9878
SEP,Stephenville Clark Regional Airport,Stephenville,32.2153,-98.1777
SFB,Orlando Sanford International Airport,Sanford,28.7776,-81.2375
SFF,Felts Field,Spokane,47.6828,-117.323
SFO,San Francisco International Airport,San Francisco,37.619,-122.375
SFZ,North Central State Airport,Smithfield,41.9208,-71.4914
SGF,Springfield Branson National Airport,Springfield,37.2457,-93.3886
SGH,Springfield-Beckley Municipal Airport,Springfield,39.8403,-83.8402
SGR,Sugar Land Regional Airport,Sugar Land,29.6223,-95.6565
SGU,St George Municipal Airport,Saint George,37.03639,-113.51031
SGY,Skagway Airport,Skagway,59.4601,-135.31599
SHD,Shenandoah Valley Regional Airport,Weyers Cave,38.2638,-78.8964
SHG,Shungnak Airport,Shungnak,66.8881,-157.162
SHH,Shishmaref Airport,Shishmaref,66.2496,-166.08911
SHN,Sanderson Field,Shelton,47.2336,-123.148
SHR,Sheridan County Airport,Sheridan,44.7692,-106.98
SHV,Shreveport Regional Airport,Shreveport,32.4466,-93.8256
SHX,Shageluk Airport,Shageluk,62.6923,-159.569
SIK,Sikeston Memorial Municipal Airport,Sikeston,36.8989,-89.5618
SIT,Sitka Rocky Gutierrez Airport,Sitka,57.0471,-135.362
SJC,Norman Y. Mineta San Jose International Airport,San Jose,37.3626,-121.929
SJT,San Angelo Regional Mathis Field,San Angelo,31.3577,-100.496
SKA,Fairchild Air Force Base,Spokane,47.6151,-117.656
SKF,Lackland Air Force Base,San Antonio,29.3842,-98.5811
SKK,Shaktoolik Airport,Shaktoolik,64.3711,-161.224
SKY,Griffing Sandusky Airport,Sandusky,41.4334,-82.6523
SLC,Salt Lake City International Airport,Salt Lake City,40.7884,-111.978
SLE,Salem Municipal Airport/McNary Field,Salem,44.9095,-123.003
SLK,Adirondack Regional Airport,Saranac Lake,44.3853,-74.2062
SLN,Salina Municipal Airport,Salina,38.791,-97.6522
SLQ,Sleetmute Airport,Sleetmute,61.7005,-157.166
SMD,Smith Field,Fort Wayne IN,41.1434,-85.1528
SME,Lake Cumberland Regional Airport,Somerset,37.0534,-84.6159
SMF,Sacramento International Airport,Sacramento,38.6954,-121.591
SMK,St Michael Airport,St. Michael,63.4901,-162.11
SMN,Lemhi County Airport,Salmon,45.1238,-113.881
SMO,Santa Monica Municipal Airport,Santa Monica,34.0158,-118.451
SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,34.8989,-120.457
SNA,John Wayne Airport-Orange County Airport,Santa Ana,33.6757,-117.868
SNP,St Paul Island Airport,St. Paul Island,57.1673,-170.22
SNS,Salinas Municipal Airport,Salinas,36.6628,-121.606
SNY,Sidney Municipal-Lloyd W Carr Field,Sidney,41.1013,-102.985
SOP,Moore County Airport,Pinehurst-Southern Pines,35.2374,-79.3912
SOV,Seldovia Airport,Seldovia,59.4424,-151.70399
SOW,Show Low Regional Airport,Show Low,34.2655,-110.006
SPA,Spartanburg Downtown Memorial Airport,Spartangurg,34.9157,-81.9565
SPF,Black Hills Airport-Clyde Ice Field,Spearfish-South Dakota,44.4803,-103.783
SPG,Albert Whitted Airport,St. Petersburg,27.7651,-82.627
SPI,Abraham Lincoln Capital Airport,Springfield,39.8441,-89.6779
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,33.9888,-98.4919
SPW,Spencer Municipal Airport,Spencer,43.1655,-95.2028
SQA,Santa Ynez Airport,Santa Ynez,34.6068,-120.076
SQL,San Carlos Airport,San Carlos,37.5119,-122.25
SRQ,Sarasota Bradenton International Airport,Sarasota,27.3954,-82.5544
SSC,Shaw Air Force Base,Sumter,33.9727,-80.4706
SSF,Stinson Municipal Airport,Stinson,29.337,-98.4711
SSI,Malcolm McKinnon Airport,Brunswick,31.1518,-81.3913
STC,St Cloud Regional Airport,Saint Cloud,45.5466,-94.0599
STE,Stevens Point Municipal Airport,Stevens Point,44.5452,-89.5303
STG,St George Airport,Point Barrow,56.5783,-169.662
STJ,Rosecrans Memorial Airport,Rosecrans,39.7719,-94.9097
STK,Sterling Municipal Airport,Sterling,40.6153,-103.265
STL,St Louis Lambert International Airport,St. Louis,38.7487,-90.37
STP,St Paul Downtown Holman Field,St. Paul,44.9345,-93.06
STS,Charles M. Schulz Sonoma County Airport,Santa Rosa,38.509,-122.813
SUA,Witham Field,Stuart,27.1817,-80.2211
SUN,Friedman Memorial Airport,Hailey,43.5044,-114.296
SUS,Spirit of St Louis Airport,Null,38.6621,-90.652
SUU,Travis Air Force Base,Fairfield,38.2627,-121.927
SUX,Sioux Gateway Col. Bud Day Field,Sioux City,42.4026,-96.3844
SVA,Savoonga Airport,Savoonga,63.6864,-170.493
SVH,Statesville Regional Airport,Statesville,35.7653,-80.9539
SVN,Hunter Army Air Field,Hunter Aaf,32.01,-81.1457
SVW,Sparrevohn LRRS Airport,Sparrevohn,61.0974,-155.57401
SWD,Seward Airport,Seward,60.1269,-149.41901
SWF,Stewart International Airport,Newburgh,41.5041,-74.1048
SWO,Stillwater Regional Airport,Stillwater,36.1612,-97.0857
SXQ,Soldotna Airport,Soldotna,60.4757,-151.034
SYA,Eareckson Air Station,Shemya,52.7123,174.114
SYR,Syracuse Hancock International Airport,Syracuse,43.1112,-76.1063
SZL,Whiteman Air Force Base,Knobnoster,38.7303,-93.5479
TBN,Waynesville-St. Robert Regional Forney field,Fort Leonardwood,37.7416,-92.1407
TBR,Statesboro Bulloch County Airport,Statesboro,32.4827,-81.7369
TCC,Tucumcari Municipal Airport,Tucumcari,35.1828,-103.603
TCL,Tuscaloosa Regional Airport,Tuscaloosa AL,33.2206,-87.6114
TCM,McChord Air Force Base,Tacoma,47.1377,-122.476
TCS,Truth Or Consequences Municipal Airport,Truth Or Consequences,33.2369,-107.272
TEB,Teterboro Airport,Teterboro,40.8501,-74.0608
TEX,Telluride Regional Airport,Telluride,37.9538,-107.908
TIK,Tinker Air Force Base,Oklahoma City,35.4147,-97.3866
TIW,Tacoma Narrows Airport,Tacoma,47.2679,-122.578
TIX,Space Coast Regional Airport,Titusville,28.5148,-80.7992
TKA,Talkeetna Airport,Talkeetna,62.3205,-150.09399
TKF,Truckee Tahoe Airport,Truckee,39.32,-120.14
TKJ,Tok Junction Airport,Tok,63.3295,-142.95399
TLA,Teller Airport,Teller,65.2404,-166.339
TLH,Tallahassee Regional Airport,Tallahassee,30.3965,-84.3503
TLJ,Tatalina LRRS Airport,Tatalina,62.8944,-155.97701
TMA,Henry Tift Myers Airport,Tifton,31.429,-83.4885
TMB,Kendall-Tamiami Executive Airport,Kendall-tamiami,25.6479,-80.4328
TNC,Tin City Long Range Radar Station Airport,Tin City,65.5631,-167.922
TNT,Dade Collier Training and Transition Airport,Miami,25.8618,-80.897
TOA,Zamperini Field,Torrance,33.8034,-118.34
TOC,Toccoa Airport - R.G. Letourneau Field,Toccoa,34.5938,-83.2958
TOG,Togiak Airport,Togiak Village,59.0528,-160.397
TOI,Troy Municipal Airport at N Kenneth Campbell Field,Troy,31.8604,-86.0121
TOL,Toledo Express Airport,Toledo,41.5868,-83.8078
TOP,Philip Billard Municipal Airport,Topeka,39.0687,-95.6225
TPA,Tampa International Airport,Tampa,27.9755,-82.5332
TPF,Peter O Knight Airport,Tampa,27.9156,-82.4493
TPH,Tonopah Airport,Tonopah,38.0602,-117.087
TPL,Draughon Miller Central Texas Regional Airport,Temple,31.1525,-97.4078
TRI,Tri-Cities Regional TN/VA Airport,BRISTOL,36.4752,-82.4074
TRM,Jacqueline Cochran Regional Airport,Palm Springs,33.6267,-116.16
TSM,Taos Regional Airport,Taos,36.4582,-105.672
TTD,Portland Troutdale Airport,Troutdale,45.5494,-122.401
TTN,Trenton Mercer Airport,Trenton,40.2767,-74.8135
TUL,Tulsa International Airport,Tulsa,36.1984,-95.8881
TUP,Tupelo Regional Airport,Tupelo,34.2681,-88.7699
TUS,Tucson International Airport,Tucson,32.1161,-110.941
TVC,Cherry Capital Airport,Traverse City,44.7414,-85.5822
TVF,Thief River Falls Regional Airport,Thief River Falls,48.0657,-96.185
TVI,Thomasville Regional Airport,Thomasville,30.9016,-83.8813
TVL,Lake Tahoe Airport,South Lake Tahoe,38.8939,-119.995
TWF,Joslin Field Magic Valley Regional Airport,Twin Falls,42.4818,-114.488
TXK,Texarkana Regional Webb Field,Texarkana,33.4537,-93.991
TYR,Tyler Pounds Regional Airport,Tyler,32.3541,-95.4024
TYS,McGhee Tyson Airport,Knoxville,35.811,-83.994
TZR,Taszár Air Base,Columbus,46.3931,17.9175
UDD,Bermuda Dunes Airport,Palm Springs,33.7484,-116.275
UGN,Waukegan National Airport,Chicago,42.4222,-87.8679
UIN,Quincy Regional Baldwin Field,Quincy,39.9427,-91.1946
UKI,Ukiah Municipal Airport,Ukiah,39.126,-123.201
UKT,Quakertown Airport,Quakertown,40.4352,-75.3819
UNK,Unalakleet Airport,Unalakleet,63.8884,-160.799
UOS,Franklin County Airport,Sewanee,35.2051,-85.8981
UOX,University Oxford Airport,Oxford,34.3843,-89.5368
UPP,Upolu Airport,Opolu,20.2653,-155.86
USA,Concord-Padgett Regional Airport,Concord,35.3878,-80.7091
UST,Northeast Florida Regional Airport,St. Augustine Airport,29.9592,-81.3398
UTM,Tunica Municipal Airport,Tunica,34.681,-90.3467
UTO,Indian Mountain LRRS Airport,Indian Mountains,65.9928,-153.70399
UUK,Ugnu-Kuparuk Airport,Kuparuk,70.3308,-149.59801
UVA,Garner Field,Uvalde,29.2113,-99.7436
VAD,Moody Air Force Base,Valdosta,30.9678,-83.193
VAK,Chevak Airport,Chevak,61.5409,-165.6005
VBG,Vandenberg Air Force Base,Lompoc,34.7373,-120.584
VCT,Victoria Regional Airport,Victoria,28.8526,-96.9185
VCV,Southern California Logistics Airport,Victorville,34.5975,-117.383
VDI,Vidalia Regional Airport,Vidalia,32.1927,-82.3712
VDZ,Valdez Pioneer Field,Valdez,61.1339,-146.248
VEE,Venetie Airport,Venetie,67.0087,-146.366
VEL,Vernal Regional Airport,Vernal,40.4409,-109.51
VGT,North Las Vegas Airport,Las Vegas,36.2107,-115.194
VIS,Visalia Municipal Airport,Visalia,36.3187,-119.393
VLD,Valdosta Regional Airport,Valdosta,30.7825,-83.2767
VNC,Venice Municipal Airport,Venice,27.0716,-82.4403
VNY,Van Nuys Airport,Van Nuys,34.2098,-118.49
VOK,Volk Field,Camp Douglas,43.939,-90.2534
VPS,Destin-Ft Walton Beach Airport,Valparaiso,30.4832,-86.5254
VPZ,Porter County Municipal Airport,Valparaiso IN,41.454,-87.0071
VQQ,Cecil Airport,Jacksonville,30.2187,-81.8767
VRB,Vero Beach Regional Airport,Vero Beach,27.6556,-80.4179
VTN,Miller Field,Valentine,42.8578,-100.548
VYS,Illinois Valley Regional Airport-Walter A Duncan Field,Peru,41.3519,-89.1531
WAA,Wales Airport,Wales,65.62259,-168.095
WAL,Wallops Flight Facility Airport,Wallops Island,37.9402,-75.4664
WBQ,Beaver Airport,Beaver,66.3622,-147.407
WBU,Boulder Municipal Airport,Boulder,40.0394,-105.226
WBW,Wilkes Barre Wyoming Valley Airport,Wilkes-Barre,41.2972,-75.8512
WDR,Barrow County Airport,Winder,33.9829,-83.6674
WFK,Northern Aroostook Regional Airport,Frenchville,47.2855,-68.3128
WHP,Whiteman Airport,Los Angeles,34.2593,-118.413
WJF,General WM J Fox Airfield,Lancaster,34.7411,-118.219
WKK,Aleknagik / New Airport,Aleknagik,59.2826,-158.618
WKL,Waikoloa Heliport,Waikoloa Village,19.9205,-155.8607
WLD,Strother Field,Winfield,37.1686,-97.0376
WLK,Selawik Airport,Selawik,66.6001,-159.98599
WMC,Winnemucca Municipal Airport,Winnemucca,40.8966,-117.806
WMH,Ozark Regional Airport,Mountain Home,36.3689,-92.4705
WMO,White Mountain Airport,White Mountain,64.6892,-163.41299
WNA,Napakiak Airport,Napakiak,60.6903,-161.979
WRB,Robins Air Force Base,Macon,32.6401,-83.5919
WRG,Wrangell Airport,Wrangell,56.4843,-132.37
WRI,Mc Guire Air Force Base,Wrightstown,40.0156,-74.5917
WRL,Worland Municipal Airport,Worland,43.9657,-107.951
WSD,Condron Army Air Field,White Sands,32.3415,-106.403
WSN,South Naknek Nr 2 Airport,South Naknek,58.7034,-157.008
WST,Westerly State Airport,Washington County,41.3496,-71.8034
WTK,Noatak Airport,Noatak,67.5661,-162.97501
WVI,Watsonville Municipal Airport,Watsonville,36.9357,-121.79
WWA,Wasilla Airport,Wasilla,61.5717,-149.53999
WWD,Cape May County Airport,Wildwood,39.0085,-74.9083
WWR,West Woodward Airport,Woodward,36.438,-99.52267
WYS,Yellowstone Airport,West Yellowstone,44.6884,-111.118
XNA,Northwest Arkansas Regional Airport,Bentonville,36.2819,-94.3068
XSD,Tonopah Test Range Airport,Tonopah,37.7988,-116.781
YAK,Yakutat Airport,Yakutat,59.5033,-139.66
YIP,Willow Run Airport,Detroit,42.2379,-83.5304
YKM,Yakima Air Terminal McAllister Field,Yakima,46.5682,-120.544
YKN,Chan Gurney Municipal Airport,Yankton,42.9167,-97.3859
YNG,Youngstown Warren Regional Airport,Youngstown,41.2607,-80.6791
YUM,Yuma MCAS/Yuma International Airport,Yuma,32.6566,-114.606
ZPH,Zephyrhills Municipal Airport,Zephyrhills,28.2282,-82.1559
ZZV,Zanesville Municipal Airport,Zanesville,39.9444,-81.8921
